관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명,
29170-00001,문화근린공원,근린공원,광주광역시 북구 대천로 86,광주광역시 북구 문흥동 1009-1,35.1849172,126.9166864,87710.3,,,,,,1990-12-31,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00002,두암제1근린공원,근린공원,광주광역시 북구 삼정로 36,광주광역시 북구 두암동 969-4,35.1651036,126.9376496,13383.5,,,,,,1990-12-12,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00003,첨단체육근린공원,근린공원,광주광역시 북구 임방울대로 877,광주광역시 북구 오룡동 1113,35.2205463,126.858765,170920.6,,,,,,1991-12-12,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00004,일곡제1근린공원,근린공원,광주광역시 북구 일곡로 55,광주광역시 북구 일곡동 850-1,35.2079754,126.8954453,34840.3,,,,,,1993-12-06,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00005,일곡제2근린공원,근린공원,광주광역시 북구 설죽로 526,광주광역시 북구 일곡동 820-2,35.2064997,126.8983947,10315,,,,,,1993-12-06,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00006,일곡제3근린공원,근린공원,광주광역시 북구 양일로 297,광주광역시 북구 일곡동 848-3,35.2025932,126.8962296,14313.6,,,,,,1993-12-06,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00007,첨단2주거1호근린공원,근린공원,광주광역시 북구 첨단연신로107번길 26,광주광역시 북구 신용동 680,35.2077934,126.8613964,34505.3,,,,,,2006-12-05,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00008,첨단2산업2호근린공원,근린공원,광주광역시 북구 연제동 1020,광주광역시 북구 연제동 1020,35.2014475,126.8636426,48063.4,,,,,,2006-12-05,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00009,첨단2주거3호근린공원,근린공원,광주광역시 북구 신용동 649,광주광역시 북구 신용동 649,35.2123642,126.8575359,22483.2,,,,,,2006-12-05,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00010,우산근린공원,근린공원,광주광역시 북구 동문대로 141,광주광역시 북구 우산동 228-1,35.1756255,126.9263108,133120,,,,,,1975-02-18,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00011,본촌근린공원,근린공원,광주광역시 북구 하서로 309,광주광역시 북구 양산동 288-3,35.2025321,126.8736607,100811,,,,,,1967-02-20,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00012,운암제3 근린공원,근린공원,광주광역시 북구 운암동 산 94,광주광역시 북구 운암동 산 94,35.1802204,126.8758031,11024,,,,,,1982-08-04,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00013,영산강대상근린공원,근린공원,광주광역시 북구 오룡동 1117,광주광역시 북구 오룡동 1117,35.2190864,126.8583302,343538.5,,,,,,1998-09-22,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00014,운암산 근린공원,근린공원,광주광역시 북구 동림동 37-54,광주광역시 북구 동림동 37-54,35.1838609,126.8680464,368907,,,,,,1985-11-12,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00015,태봉어린이공원,어린이공원,광주광역시 북구 자동차로48번길 34,광주광역시 북구 신안동 148,35.1629176,126.9030896,2960,,,,,,1957-11-19,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00016,미리내어린이공원,어린이공원,광주광역시 북구 경열로234번길 19,광주광역시 북구 중흥동 714-1,35.1598855,126.9081493,2056,,,,,,1957-11-19,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
29170-00017,운암어린이공원,어린이공원,광주광역시 북구 운암동 95,광주광역시 북구 운암동 95,35.1739887,126.8815165,2496.5,,,,,,1970-06-05,광주광역시 북구청,062-410-6438,2018-04-17,3620000,광주광역시 북구,
